District Name,Average Daily Attendance,Avg. Salary 2014-15,% Change Since 2008
El Rancho Unified,8726,71564,7.6
El Segundo Unified,3362,75767,7
Garvey Elementary,4933,78680,11.8
Glendale Unified,25183,74441,8.1
Glendora Unified,7495,80179,11.5
Hawthorne Elementary,8431,75751,19
Keppel Union Elementary,2497,70652,13.2
La Canada Unified,3963,75116,8
Lancaster Elementary,13587,71577,9.4
Las Virgenes Unified,10848,72364,8.1
Lawndale Elementary,5565,80600,12.8
Lennox Elementary,4911,83901,11.5
Little Lake City Elementary,4376,72851,12.6
Long Beach Unified,75968,85062,18.6
Los Angeles Unified,477163,72495,9.1
Lowell Joint Elementary,3095,81702,15
Lynwood Unified,14352,73242,15
Monrovia Unified,5649,75316,12.3
Montebello Unified,27683,83615,14.3
Mountain View Elementary,7083,93471,9.3
Newhall Elementary,6540,70870,13.4
Norwalk-La Mirada Unified,18195,80236,15.7
Palmdale Elementary,18288,71737,12.8
Palos Verdes Peninsula Unified,11289,76242,14.1
Paramount Unified,15121,78473,15
Pasadena Unified,16514,69578,8
Pomona Unified,24370,78415,11.7
Rosemead Elementary,2608,82229,18
San Marino Unified,3064,78057,12.8
Santa Monica-Malibu Unified,10785,75968,12
Saugus Union Elementary,9644,79884,12.4
South Pasadena Unified,4610,77330,4.9
South Whittier Elementary,3024,74117,-5.4
Sulphur Springs Union Elementary,5246,72910,7.3
Temple City Unified,5819,77825,13.6
Torrance Unified,23114,76851,19
West Covina Unified,8888,70256,7.5
Westside Union Elementary,8631,77346,17.4
Whittier City Elementary,5859,74255,9.2
Whittier Union High,12316,86199,18.5
William S. Hart Union High,21757,75163,11
Wilsona Elementary,1266,67224,0.9
Hacienda La Puente Unified,18858,74555,16.3
Rowland Unified,13946,77333,13.3
Walnut Valley Unified,14249,79035,8.6
Manhattan Beach Unified,6715,79005,20.9
Redondo Beach Unified,9049,75718,9.3
Alhambra Unified,17057,73025,6.2
Alview-Dairyland Union Elementary,337,56523,-4.4
Bass Lake Joint Union Elementary ,808,56879,4.5
Chowchilla Elementary,2084,65171,22
Chowchilla Union High,961,58423,9.5
Madera Unified,18830,65616,8.6
Yosemite Unified,1611,65483,2.9
Dixie Elementary ,1931,77668,11.7
Kentfield Elementary ,1179,79763,7.4
Larkspur-Corte Madera,1462,81057,15.3
Mill Valley Elementary ,3136,81111,11.3
Novato Unified,7471,66698,13.1
Reed Union Elementary ,1502,81909,5.6
Ross Elementary ,357,80466,13.3
Sausalito Marin City Elementary ,150,76194,-3.7
Tamalpais Union High ,3962,95147,11.4
Ross Valley Elementary,2224,69728,12.6
Mariposa County Unified ,1566,60945,5.1
Anderson Valley Unified,506,53897,5
Fort Bragg Unified,1668,53037,5.8
Mendocino Unified ,424,57296,-1
Round Valley Unified,288,55266,6.5
Ukiah Unified,5404,62327,8.4
Willits Unified,1465,55051,-1.6
Potter Valley Community Unified,221,49572,2.6
Laytonville Unified,370,53845,-4.6
Leggett Valley Unified,87,49375,6.4
Point Arena School District ,370,55874,12.5
Atwater Elementary,4638,73803,-4.1
Hilmar Unified,2164,66520,11.2
Livingston Union Elementary,2506,75774,11
Los Banos Unified,9557,72933,18.9
McSwain Union Elementary,831,67587,1.4
Merced City Elementary,10328,79677,10.5
Merced Union High,9471,71538,14
Plainsburg Union Elementary,123,41147,7.6
Planada Elementary,736,66159,5.9
Weaver Union Elementary,2637,76330,25
Winton Elementary,1827,69145,12
Gustine Unified,1741,64952,10.9
Merced River Union Elementary,143,60013,20.5
Delhi Unified,2550,72049,13.7
Surprise Valley Joint Unified,101,45421,1.4
Modoc Joint Unified,770,52670,2.8
Tulelake Basin Joint Unified,423,68711,2.6
Alisal Union Elementary,8584,65397,-0.8
Carmel Unified ,2386,98620,23.6
Greenfield Union Elementary,3301,61814,12.1
King City Union Elementary,2490,62323,4.5
South Monterey Co Joint Union High,1901,73648,-11
Monterey Peninsula Unified,9566,62369,8
Pacific Grove Unified ,1952,88874,16.8
Salinas City Elementary,8677,66720,8
Salinas Union High,13496,69796,4.5
San Antonio Union Elementary,159,54168,20
Spreckels Union Elementary,938,59512,10.9
Washington Union Elementary,907,65650,15.7
Soledad Unified,4696,65900,9.3
Gonzales Unified,2341,68833,6.8
Napa Valley Unified,16476,72801,9.3
St. Helena Unified ,1201,106540,27.4
Chicago Park Elementary,117,54160,-2.5
Clear Creek Elementary,141,61040,10.4
Nevada City Elementary ,749,63919,2.5
Nevada Joint Union High,2705,67184,1.9
Pleasant Ridge Union Elementary,1155,73141,4.3
Anaheim City Elementary,18493,85962,11.3
Anaheim Union High,30054,90749,12.4
Brea Olinda Unified,5772,75618,4.3
Buena Park Elementary,4843,86411,11.8
Capistrano Unified,47908,83235,9
Centralia Elementary,4356,85282,14.6
Cypress Elementary,3876,81725,15
Fountain Valley Elementary,6146,76981,6.6
Fullerton Elementary,13334,81850,12.6
Fullerton Joint Union High,13849,91578,7.4
Garden Grove Unified,44821,89105,13.8
Huntington Beach City Elementary,6727,81238,11
Huntington Beach Union High,15593,86034,10.6
La Habra City Elementary,4833,84568,7
Magnolia Elementary,6196,84754,14.3
Newport-Mesa Unified ,20962,88376,16.7
Ocean View Elementary,8589,78140,8.8
Orange Unified,26291,78819,12.1
Placentia-Yorba Linda Unified,24816,80592,5.6
Santa Ana Unified,50969,82966,8.5
Savanna Elementary,2312,81926,4.7
Westminster Elementary,9289,78324,11.8
Saddleback Valley Unified,26994,80136,2.9
Tustin Unified,23269,79250,11.7
Irvine Unified ,30606,77121,4.9
Los Alamitos Unified,9678,89667,17.1
Ackerman Elementary,530,62477,16.1
Colfax Elementary,304,61016,6.4
Dry Creek Joint Elementary,6515,74420,20.1
Eureka Union Elementary,3230,75015,12.2
Loomis Union Elementary,2263,65347,12.6
Placer Hills Union Elementary,490,64649,11.2
Placer Union High,3899,68116,5.3
